Zona,2022_persona,2021_persona,2020_persona,2019_persona,2018_persona,2017_persona,2016_persona,2015_persona,2022_hogar,2021_hogar,2020_hogar,2019_hogar,2018_hogar,2017_hogar,2016_hogar,2015_hogar,2022_consumo,2021_consumo,2020_consumo,2019_consumo,2018_consumo,2017_consumo,2016_consumo,2015_consumo,2022_bruta_persona,2021_bruta_persona,2020_bruta_persona,2019_bruta_persona,2018_bruta_persona,2017_bruta_persona,2016_bruta_persona,2015_bruta_persona,2022_bruta_hogar,2021_bruta_hogar,2020_bruta_hogar,2019_bruta_hogar,2018_bruta_hogar,2017_bruta_hogar,2016_bruta_hogar,2015_bruta_hogar
46001 Ademuz,11574,11200,10467,10176,9785,8739,8470,8280,25942,25662,24164,23610,22739,20715,20748,20710,16471,16071,14976,14780,14227,12625,12286,12193,13450,13086,11954,11646,11225,10011,9623,9450,30148,29986,27596,27019,26087,23728,23570,23636
4600101 Ademuz distrito 01,11574,11200,10467,10176,9785,8739,8470,8280,25942,25662,24164,23610,22739,20715,20748,20710,16471,16071,14976,14780,14227,12625,12286,12193,13450,13086,11954,11646,11225,10011,9623,9450,30148,29986,27596,27019,26087,23728,23570,23636
4600101001 Ademuz sección 01001,11574,11200,10467,10176,9785,8739,8470,8280,25942,25662,24164,23610,22739,20715,20748,20710,16471,16071,14976,14780,14227,12625,12286,12193,13450,13086,11954,11646,11225,10011,9623,9450,30148,29986,27596,27019,26087,23728,23570,23636
46002 Ador,12267,11573,11010,10613,10588,10233,9519,9345,28814,27242,26612,26147,25111,24006,22941,22491,18004,16988,16291,15719,15624,14885,14149,13716,14445,13540,12804,12319,12242,11767,10903,10665,33929,31872,30948,30351,29033,27606,26277,25668
4600201 Ador distrito 01,12267,11573,11010,10613,10588,10233,9519,9345,28814,27242,26612,26147,25111,24006,22941,22491,18004,16988,16291,15719,15624,14885,14149,13716,14445,13540,12804,12319,12242,11767,10903,10665,33929,31872,30948,30351,29033,27606,26277,25668
4600201001 Ador sección 01001,12267,11573,11010,10613,10588,10233,9519,9345,28814,27242,26612,26147,25111,24006,22941,22491,18004,16988,16291,15719,15624,14885,14149,13716,14445,13540,12804,12319,12242,11767,10903,10665,33929,31872,30948,30351,29033,27606,26277,25668
46003 Atzeneta d'Albaida,11976,11776,11193,10721,10213,9567,9054,8967,28930,28621,27315,26607,25402,24413,23147,22804,17801,17503,16501,16007,15255,14554,13761,13557,14057,13762,12964,12340,11728,10905,10304,10169,33955,33446,31638,30625,29169,27826,26342,25859
4600301 Atzeneta d'Albaida distrito 01,11976,11776,11193,10721,10213,9567,9054,8967,28930,28621,27315,26607,25402,24413,23147,22804,17801,17503,16501,16007,15255,14554,13761,13557,14057,13762,12964,12340,11728,10905,10304,10169,33955,33446,31638,30625,29169,27826,26342,25859
4600301001 Atzeneta d'Albaida sección 01001,11976,11776,11193,10721,10213,9567,9054,8967,28930,28621,27315,26607,25402,24413,23147,22804,17801,17503,16501,16007,15255,14554,13761,13557,14057,13762,12964,12340,11728,10905,10304,10169,33955,33446,31638,30625,29169,27826,26342,25859
46004 Agullent,12236,11416,10768,10646,10094,9550,9367,9045,30661,28762,27573,27616,26176,24943,24393,23738,18276,17078,16265,16066,15190,14376,14096,13621,14451,13462,12643,12463,11759,11089,10924,10565,36211,33916,32374,32327,30492,28963,28447,27728
4600401 Agullent distrito 01,12236,11416,10768,10646,10094,9550,9367,9045,30661,28762,27573,27616,26176,24943,24393,23738,18276,17078,16265,16066,15190,14376,14096,13621,14451,13462,12643,12463,11759,11089,10924,10565,36211,33916,32374,32327,30492,28963,28447,27728
4600401001 Agullent sección 01001,12236,11416,10768,10646,10094,9550,9367,9045,30661,28762,27573,27616,26176,24943,24393,23738,18276,17078,16265,16066,15190,14376,14096,13621,14451,13462,12643,12463,11759,11089,10924,10565,36211,33916,32374,32327,30492,28963,28447,27728
46005 Alaquàs,12091,11410,10909,10762,10275,9668,9179,8870,30385,28588,27549,27283,26154,24507,23652,23008,17930,16929,16243,16098,15404,14491,13837,13364,14204,13309,12670,12479,11880,11149,10563,10208,35694,33346,31995,31636,30237,28260,27219,26477
4600501 Alaquàs distrito 01,12080,11427,10880,10731,10154,9625,9054,8736,29307,27541,26575,26327,25020,23524,22753,22263,17672,16701,15996,15825,15018,14200,13476,13015,14136,13285,12641,12425,11712,11061,10374,9982,34295,32018,30876,30482,28858,27032,26072,25438
4600501001 Alaquàs sección 01001,13329,12478,12025,11738,11156,10630,9939,9667,31463,29867,29017,28866,27296,25786,24751,24456,19408,18104,17539,17078,16241,15558,14832,14612,16217,14948,14140,13836,13046,12419,11608,11291,38282,35777,34121,34026,31921,30126,28905,28564
4600501002 Alaquàs sección 01002,14585,14132,13231,13659,12762,11903,11200,11481,37423,35478,32924,34148,32040,29786,28827,29742,22159,21157,20123,20430,19147,17911,17062,17224,17919,17337,16682,16726,15629,14526,13544,13868,45976,43522,41510,41814,39237,36349,34859,35927
4600501003 Alaquàs sección 01003,10721,10119,9943,9630,9222,8856,8386,8074,27404,25523,25165,24502,23004,21819,20870,20721,15812,14882,14673,14259,13800,12982,12409,11986,12186,11470,11299,10820,10374,9925,9401,9034,31150,28933,28597,27528,25878,24452,23396,23186
4600501004 Alaquàs sección 01004,13134,12546,11565,11525,10857,10258,9650,9399,32611,30070,29100,29141,28084,26592,25191,24373,19540,18606,17340,17726,16668,15913,14915,14366,15630,14912,13612,13710,12772,12023,11292,10902,38807,35741,34251,34665,33037,31169,29476,28271
4600501005 Alaquàs sección 01005,11961,11179,11057,10612,10113,9863,9135,8863,28627,26862,26479,25633,24348,22882,21986,21251,17243,16120,15950,15466,14731,14340,13181,12838,13977,12957,12880,12309,11726,11399,10458,10072,33451,31135,30843,29733,28233,26446,25170,24151
4600501006 Alaquàs sección 01006,11241,10520,9944,9845,9381,8756,8265,7667,26273,24085,23666,23066,22327,20502,20521,19861,16246,15253,14531,14315,13697,12521,12071,11255,12791,11899,11228,11137,10560,9790,9204,8535,29894,27242,26724,26093,25134,22922,22853,22108
4600501007 Alaquàs sección 01007,11382,10798,10206,10044,9411,8923,8418,8039,23924,22768,21865,21562,19959,19073,18709,18284,15697,14928,14266,14032,13021,12423,11897,11464,12892,12172,11415,11189,10456,9834,9313,8862,27099,25664,24456,24019,22175,21021,20700,20156
4600501008 Alaquàs sección 01008,10115,9623,9079,9109,8377,8013,7658,7241,21488,19630,18861,18771,17783,17362,17097,16307,14040,13396,12645,12712,11843,11263,10954,10270,11131,10484,9844,9895,9042,8627,8277,7780,23646,21386,20450,20390,19193,18691,18480,17523
4600501010 Alaquàs sección 01010,11910,11174,10586,10312,9808,9176,8667,8225,31563,30244,28904,28374,27267,25199,24403,23339,17710,16696,15869,15527,14828,13894,13224,12613,13862,12863,12169,11868,11249,10487,9900,9371,36737,34816,33226,32653,31274,28799,27873,26588
4600502 Alaquàs distrito 02,12515,11756,11240,11144,10674,9978,9508,9185,32194,30324,29183,29034,27864,25965,24912,24115,18764,17630,16871,16813,16136,15107,14442,13927,14896,13869,13166,13053,12462,11632,11077,10733,38320,35774,34186,34008,32531,30270,29022,28179
4600502001 Alaquàs sección 02001,11499,11071,10497,10329,10047,9673,9097,8492,27519,25958,24647,24160,23332,22285,21053,19462,16904,16080,15222,14959,14488,13949,13095,12156,13394,12846,12051,11891,11509,11107,10471,9963,32054,30121,28298,27814,26728,25587,24232,22834
4600502002 Alaquàs sección 02002,12991,11990,11563,11447,10889,10071,9550,9252,34024,32064,31084,30349,29233,27013,26286,25720,19443,18166,17544,17316,16739,15433,14689,14260,15421,14084,13488,13339,12684,11718,11059,10740,40388,37665,36260,35364,34054,31431,30438,29856
4600502003 Alaquàs sección 02003,11389,10768,10070,10029,9485,8808,8580,8260,30597,29313,28004,28162,26456,24912,24501,24137,17557,16533,15629,15633,14830,13897,13496,13055,13728,12596,11667,11582,10840,10060,9803,9407,36879,34289,32445,32522,30236,28452,27993,27489
4600502004 Alaquàs sección 02004,12444,11652,10956,10908,10464,9519,9164,8872,35304,33266,31687,31736,30471,27650,26463,25689,19075,17991,17071,17248,16501,15208,14610,14136,15000,13958,12997,12940,12345,11193,10743,10389,42553,39847,37590,37647,35949,32515,31023,30082
