Codigo_Ciudad;Codigo_Distrito;Codigo_Barrio;Codigo_Seccion;Nombre_Ciudad;Nombre_Distrito;Nombre_Barrio;Codigo;X2022_persona;X2021_persona;X2020_persona;X2019_persona;X2018_persona;X2017_persona;X2016_persona;X2015_persona;X2022_hogar;X2021_hogar;X2020_hogar;X2019_hogar;X2018_hogar;X2017_hogar;X2016_hogar;X2015_hogar;X2022_consumo;X2021_consumo;X2020_consumo;X2019_consumo;X2018_consumo;X2017_consumo;X2016_consumo;X2015_consumo;X2022_bruta_persona;X2021_bruta_persona;X2020_bruta_persona;X2019_bruta_persona;X2018_bruta_persona;X2017_bruta_persona;X2016_bruta_persona;X2015_bruta_persona;X2022_bruta_hogar;X2021_bruta_hogar;X2020_bruta_hogar;X2019_bruta_hogar;X2018_bruta_hogar;X2017_bruta_hogar;X2016_bruta_hogar;X2015_bruta_hogar
46250;1;1;1;València;Distrito 01;La Seu;4625001001 València sección 01001;20681;19263;18773;19512;18667;16800;16803;14918;45056;42535;41322;42045;40783;37731;37140;32795;32037;28202;27312;28903;28289;25752;25521;22800;26250;24850;22750;24150;23450;22750;22050;20650;29113;25502;24826;25539;24774;22945;22059;20267
46250;1;1;2;València;Distrito 01;La Seu;4625001002 València sección 01002;20714;18485;18527;19082;17846;17038;17238;16769;46847;42471;42408;43212;41173;38276;39265;36247;30364;27109;27467;28376;26577;25060;24971;24110;22750;21350;21350;22750;22050;19250;19250;19250;26996;24077;24054;24762;23147;22888;21621;21167
46250;1;1;3;València;Distrito 01;La Seu;4625001003 València sección 01003;21274;20336;22062;19344;19706;17864;18087;16668;48996;45481;50314;43650;43316;40047;40578;36559;31562;30755;32833;28804;29354;26111;26186;24583;29050;26950;24500;25550;24150;22750;20650;20650;28040;27109;28575;25248;26148;22898;23101;21358
46250;1;2;5;València;Distrito 01;La Xerea;4625001005 València sección 01005;21439;19795;18442;17756;19957;17289;16753;17062;48802;45758;44440;42821;48357;41135;40299;40269;32264;30090;28476;28412;30462;26206;26808;25262;26250;25550;24150;23450;22750;22750;21350;20650;30161;27729;25013;25023;27057;23496;23663;22645
46250;1;2;7;València;Distrito 01;La Xerea;4625001007 València sección 01007;27333;24969;27919;23257;31141;21431;23251;21888;60163;55018;61289;50505;66783;45056;49644;47034;46579;38687;42128;40023;48737;32573;33992;31991;29050;27650;26250;28350;27650;25550;23450;23450;43413;38356;41315;38431;45362;31171;32476;29658
46250;1;2;8;València;Distrito 01;La Xerea;4625001008 València sección 01008;25027;23260;21230;21321;20318;17378;16222;16538;58635;54294;48241;49186;46200;40016;37241;39539;37349;35067;32050;32556;30136;26279;24017;24746;24850;24150;23450;22750;20650;19250;17850;17850;35183;32196;28893;29274;27487;23425;21990;21749
46250;1;2;9;València;Distrito 01;La Xerea;4625001009 València sección 01009;33513;32039;31670;28926;29941;27729;29364;28350;88587;87724;89731;76585;82981;76292;77945;73943;55300;51860;51053;50555;47115;45022;46850;43603;42350;38850;37450;36750;35350;33950;33950;32200;51091;46570;45312;45326;42785;40846;42003;39696
46250;1;3;10;València;Distrito 01;El Carme;4625001010 València sección 01010;16289;15062;15922;16287;19984;14879;13329;12534;34905;31778;32943;34583;42416;31291;28741;27707;23119;21201;22757;23415;30790;21095;19045;18078;19950;17850;18550;18550;16450;15750;15050;14350;20439;18837;19757;20133;25298;18527;16462;15458
46250;1;3;11;València;Distrito 01;El Carme;4625001011 València sección 01011;15738;14901;14143;14074;13571;13110;12059;11927;31685;30219;28372;28301;27540;26121;24568;24649;21907;21310;19820;19625;19201;18276;16948;16689;19250;18550;17150;17850;15750;15050;14350;12950;19700;18531;17176;17183;16816;15991;14664;14529
46250;1;3;12;València;Distrito 01;El Carme;4625001012 València sección 01012;16123;15073;13204;13674;13207;11502;11395;10937;33613;31125;27254;28211;26899;23756;23495;21875;22395;21079;18602;19102;18400;16376;16058;15090;19250;18550;16450;17150;15750;13650;13650;12950;20282;18912;16204;16566;16066;14202;13764;13112
46250;1;3;13;València;Distrito 01;El Carme;4625001013 València sección 01013;18112;16115;16391;15840;15802;14368;14770;14106;42056;37248;37450;36618;35437;32281;32681;30571;26271;23152;23573;22903;22690;20817;21093;20209;24150;21350;21350;20650;19950;17850;18550;18550;22999;20299;20376;19747;19547;17916;18092;17431
46250;1;3;14;València;Distrito 01;El Carme;4625001014 València sección 01014;15469;14569;13964;14387;13486;12862;11911;11498;32431;30554;30008;31225;29219;27836;26055;23822;21950;20618;19905;20072;19415;18442;16972;16201;19950;17150;16450;16450;15750;15050;13650;12950;19487;18244;17329;17914;16785;15929;14656;14059
