"neighbourhood_group_cleansed","neighbourhood_cleansed","precio_ponderado_vivienda_media","precio_ponderado_barrio_media","cluster"
"L'EIXAMPLE","LA GRAN VIA",2.55382369045999,2.56522456744631,1
"POBLATS DE L'OEST","BENIFERRI",2.47605549825946,2.68544324512402,1
"POBLATS DEL SUD","EL PERELLONET",1.78126832491801,3.37169621014761,1
"EL PLA DEL REAL","MESTALLA",1.60272177542759,1.45447150829153,3
"POBLATS DEL SUD","PINEDO",1.60194408336872,2.40962117623194,1
"POBLATS DEL SUD","EL SALER",1.51191673117446,0.411644097198965,3
"PATRAIX","VARA DE QUART",1.46788939075319,1.4904234313026,3
"JESUS","L'HORT DE SENABRE",1.43272120139976,1.29009481254929,3
"BENIMACLET","BENIMACLET",1.16115153698804,1.02716204073239,3
"CAMINS AL GRAU","PENYA-ROJA",1.10857765854636,1.25324483831163,3
"QUATRE CARRERES","LA FONTETA S.LLUIS",1.05963520950794,1.02623918723853,3
"CAMINS AL GRAU","CAMI FONDO",1.02119068287825,0.912137327884177,3
"ALGIROS","L'ILLA PERDUDA",0.775534164155907,0.871475652208332,3
"L'EIXAMPLE","EL PLA DEL REMEI",0.77311660997831,0.686188568101794,3
"EL PLA DEL REAL","EXPOSICIO",0.740910601842564,1.14439562844157,3
"POBLATS MARITIMS","LA MALVA-ROSA",0.56471122823051,0.439599109275299,3
"LA SAIDIA","TRINITAT",0.54994142931998,0.478275231153086,3
"QUATRE CARRERES","MALILLA",0.522164827137534,0.5571174630476,3
"CAMPANAR","SANT PAU",0.500613159620905,0.454784595822854,3
"EXTRAMURS","LA PETXINA",0.428911451747632,0.361578192623856,3
"QUATRE CARRERES","NA ROVELLA",0.349191878640213,0.0881419348930256,4
"CIUTAT VELLA","SANT FRANCESC",0.20422649837184,0.510490440801087,3
"L'OLIVERETA","NOU MOLES",0.19143168779777,0.114436213304141,4
"PATRAIX","PATRAIX",0.120528626559971,0.352793220041346,3
"RASCANYA","ELS ORRIOLS",0.10519347933859,-0.333364911214344,4
"QUATRE CARRERES","LA PUNTA",0.0807655876722397,-0.534684788360872,4
"JESUS","LA RAIOSA",0.00435427812559474,0.034083951739429,4
"POBLATS DE L'OEST","BENIMAMET",-0.0409775804542169,0.123937480243883,4
"CIUTAT VELLA","LA XEREA",-0.0465865445552878,-0.0427444606338479,4
"CAMPANAR","CAMPANAR",-0.075782585343839,-0.0538763687902748,4
"L'OLIVERETA","TRES FORQUES",-0.125469409851333,-0.126419699251485,4
"CIUTAT VELLA","EL PILAR",-0.140711942338587,-0.18184959779805,4
"QUATRE CARRERES","MONT-OLIVET",-0.154365848001739,-0.261088849749996,4
"L'EIXAMPLE","RUSSAFA",-0.164392838937914,-0.253420671504746,4
"EXTRAMURS","LA ROQUETA",-0.200934260610053,-0.63431336648844,4
"QUATRE CARRERES","CIUTAT DE LES ARTS I DE LES CIENCIES",-0.223881959048207,-0.344735755547718,4
"CAMINS AL GRAU","LA CREU DEL GRAU",-0.239925809927569,-0.270033404879426,4
"POBLATS MARITIMS","EL GRAU",-0.253336553682,-0.238905926533425,4
"CAMPANAR","LES TENDETES",-0.333553990388062,-0.251958534172809,4
"CAMINS AL GRAU","ALBORS",-0.360864840890027,-0.629136069979852,4
"EXTRAMURS","ARRANCAPINS",-0.457079254083685,-0.59981046800207,4
"POBLATS MARITIMS","CABANYAL-CANYAMELAR",-0.482528121672803,-0.115289092321777,4
"RASCANYA","TORREFIEL",-0.502109611673103,-0.575485179620424,4
"CIUTAT VELLA","EL MERCAT",-0.507757657341106,-0.395958573890278,4
"ALGIROS","CIUTAT JARDI",-0.560615158293405,-0.741061538289979,2
"POBLATS MARITIMS","BETERO",-0.574056473712726,-0.493733159315667,4
"LA SAIDIA","MORVEDRE",-0.622687204338937,-0.611802536829814,4
"QUATRE CARRERES","EN CORTS",-0.672402626913745,-0.761216952157458,2
"EXTRAMURS","EL BOTANIC",-0.753800808074524,-0.847640072731537,2
"LA SAIDIA","MARXALENES",-0.864427262631891,-1.13040577106241,2
"CIUTAT VELLA","LA SEU",-0.893475505410893,-0.870567381094471,2
"ALGIROS","L'AMISTAT",-0.90904756877862,-1.13514998010766,2
"ALGIROS","LA VEGA BAIXA",-0.939725967536539,-0.930470495823605,2
"CIUTAT VELLA","EL CARME",-1.01778814687756,-0.999804969327802,2
"LA SAIDIA","TORMOS",-1.02857791038238,-1.43307938180874,2
"LA SAIDIA","SANT ANTONI",-1.0837128412486,-0.933020477799266,2
"CAMPANAR","EL CALVARI",-1.09858889273149,-1.1581777538669,2
"CAMINS AL GRAU","AIORA",-1.27197363179036,-1.15237948260673,2
"BENICALAP","BENICALAP",-1.31491089868194,-1.11152337996421,2
"POBLATS MARITIMS","NATZARET",-1.44969649715451,-1.51693613257306,2
"ALGIROS","LA CARRASCA",-1.4647268097965,-1.3066259070027,2
"RASCANYA","SANT LLORENS",-1.64130430451112,-1.67130194217508,2
"JESUS","SANT MARCEL.LI",-2.21871397455603,-2.17899568981932,2
