"","distrito","barrio","precio","distancia_P_Ayuntamiento","distancia_CAC","distancia_Bioparc","distancia_Estacion","distancia_Malvarrosa","distancia_Torres","distancia_UV","distancia_Puerto","distancia_Albufera","distancia_Viveros","distancia_Cabecera","distancia_UPV","distancia_Mestalla","codbarrio","coddistrito","emt","metrovlc","renta_persona","renta_hogar"
"1","POBLATS DE L'OEST","BENIFERRI",141.462588888889,3.86742429691029,6.37199236680296,2.05826646092218,4.25695764799923,6.81718420211383,3.18493906335153,5.74639184082247,9.17549933347538,19.131016618866,3.63806118393501,2.40319829202164,5.56443505663355,4.78593309091007,2,18,3,1,15179,39240
"2","L'EIXAMPLE","LA GRAN VIA",138.040583333333,1.04560659037324,1.51894454792671,3.33833353404734,0.961526016452585,3.75548253165763,1.76783710182406,2.11346947387472,4.53422767126278,14.966545348822,1.81929646162486,3.8148895993715,2.65701474506167,1.24445545724585,3,2,18,0,23621,59758.1666666667
"3","QUATRE CARRERES","MALILLA",138.020727777778,2.8005508982632,2.34100564828501,4.2309309294597,2.27669806038958,5.99552359272873,3.84776239643615,4.41943032996042,5.31286872835328,12.9336613949122,4.20400196586722,4.2739017676674,5.08448336746323,3.75237920539651,3,10,29,0,14184.0666666667,35197.6
"4","POBLATS DEL SUD","EL SALER",137.572207407407,14.0770132437134,11.9354376993606,15.7720193436375,13.6030944491625,14.6328314559791,15.0434945512319,13.9423575404545,11.086279927031,2.61582831884802,15.0918538719478,15.7460700237777,14.6868066546735,14.1053237946596,4,19,10,0,17280,39881
"5","L'EIXAMPLE","EL PLA DEL REMEI",137.0124,0.63800191270518,2.00458347146881,2.91653243206278,0.788865575449286,3.83765139754073,1.28673433373257,2.21916286607087,4.95211113301208,15.3998468907823,1.42730068989614,3.4388709402442,2.64096268077881,1.18415052320287,2,2,15,0,32832.5,85134.5
"6","POBLATS DEL SUD","PINEDO",131.9142875,7.74958196938483,5.59839375985408,9.56629813931101,7.28961065389722,8.6073259452511,8.70059457964482,7.70458270820735,5.42909123406536,8.1548961306561,8.74423054343129,9.63324264771431,8.46790336091077,7.77732194952152,3,19,14,0,14676.5,36418.5
"7","POBLATS DEL SUD","EL PERELLONET",131.11486875,20.5658352059049,18.4258136165909,22.2098456740534,20.0875329644617,20.9880090700801,21.5372804145955,20.3908401976261,17.3669691757985,5.42451289456905,21.5860610993467,22.1443442447625,21.1245432068634,20.5906795370767,6,19,17,0,16149,33817
"8","EL PLA DEL REAL","MESTALLA",129.296083333333,1.5047757877493,1.78986139935795,3.69121208309249,1.66384441636497,2.95869909203609,1.72635805160097,1.32723188194582,4.27339364111256,15.4784452472116,1.42465060564142,4.26981092967727,1.82384558103884,0.442975284524101,2,6,28,2,19706.6,49233.6
"9","BENIMACLET","BENIMACLET",127.731009090909,2.18734091287024,3.28703545292426,3.62948219674756,2.62133266761455,2.68619081001362,1.52713216242354,1.63962575880447,5.24291637696433,16.9884750265864,0.777784048409757,4.34325674864018,1.39022462547855,1.10419319799066,1,14,20,3,15681.1578947368,37059.7368421053
"10","PATRAIX","VARA DE QUART",126.796145454545,2.87128852966999,4.59547770163822,2.13135552738585,2.67062860046486,7.25336123014827,3.4611243715074,5.64538548343815,7.86392029549393,15.3536491995254,4.18156455471397,1.69175225612172,6.00819644704199,4.58029112286705,3,8,14,0,14643,35716
"11","JESUS","L'HORT DE SENABRE",126.303027272727,2.39748497592114,3.21874784042159,3.08274219060454,1.9479119879451,6.42785063464215,3.35222545911922,4.78679344871651,6.43005202885992,14.0102052518136,3.9136847803779,2.98800914811668,5.31785971419336,3.86881149951896,2,9,11,0,12848.3333333333,32395.0833333333
"12","LA SAIDIA","TRINITAT",125.150033333333,1.46863290066918,3.21035756247432,2.77686437499308,1.96425330911072,3.4942439604349,0.658641044313733,2.20761403746745,5.65393260554248,16.7945827098009,0.097378944465526,3.48124701209412,2.17735916979484,1.25159823499014,3,5,11,1,16065.6666666667,36912.1666666667
"13","POBLATS MARITIMS","LA MALVA-ROSA",125.088045652174,4.25682003256822,3.46897607754209,6.22235758188295,4.45194033279014,0.380119935832819,4.07196434179469,1.46254354627077,3.31433235179532,16.3299477197901,3.38387125677721,6.88686366275822,1.32859642193284,2.54961560333006,3,11,24,0,12386,29700.1
"14","EL PLA DEL REAL","EXPOSICIO",123.723245454545,1.28695872182865,2.4630094034441,3.19612482726806,1.65298844706273,3.14634984092872,1.09844590718002,1.65100860332442,4.93159365131729,16.1051737337442,0.718321014070401,3.83652465276367,1.86550321995676,0.560652619225555,1,6,11,1,25139.4,67371.8
"15","QUATRE CARRERES","LA FONTETA S.LLUIS",123.292385714286,2.9585259579452,1.69883311749433,4.74527024182556,2.46890423703997,5.47097883448512,3.9692045815851,3.97791808102547,4.4755861279078,12.6702819518805,4.17853620109074,4.89356194968279,4.69901056295704,3.5022108969585,4,10,8,0,11337.5,29114.5
"16","CAMINS AL GRAU","CAMI FONDO",120.20881875,2.06197939008093,1.0539207105005,4.34689568223223,2.01898090317165,2.95665574861829,2.52025964518368,1.3917735672185,3.52713111604385,14.7454857407499,2.2596738148548,4.85908447967501,2.1131578184525,1.1635915074999,4,12,8,0,13240,32543.25
"17","CAMINS AL GRAU","ALBORS",119.47123030303,2.02868202209294,1.46452980111614,4.26323164745775,2.09068205242703,2.66115217481906,2.31424883957578,1.04284610289789,3.68478776787387,15.1487470712244,1.95663458790631,4.82181614462194,1.72644597108411,0.803292968128713,2,12,6,0,14556.1666666667,35980.1666666667
"18","CAMINS AL GRAU","PENYA-ROJA",119.359464150943,2.56745715534747,0.535233684469434,4.85877125465525,2.40302463413092,3.24840090634636,3.16075410676381,1.863349229298,3.03238246135914,14.0884382363624,2.94862490409151,5.31198004482421,2.63105220291105,1.85608356546494,5,12,25,0,22085.1666666667,62580.5
"19","EXTRAMURS","LA PETXINA",118.787498360656,1.32596557701028,3.78878338586036,0.983138633337256,1.54060052925122,5.49785244542566,1.45231821660539,3.99931177601271,6.89642563001524,16.3460861554208,2.20048345224647,1.49349345937206,4.19408468199918,2.88890125668717,3,3,14,0,17533.3333333333,42197.6666666667
"20","ALGIROS","L'ILLA PERDUDA",118.451705263158,3.15250122378504,1.92694849526628,5.35477748793392,3.21122745616262,1.86301769142281,3.31662229192231,0.8371485267668,2.80572488009431,15.1192759372258,2.80742279074247,5.93560209400105,1.52999080303234,1.66231882383171,1,13,6,0,14529.3333333333,34877
"21","QUATRE CARRERES","CIUTAT DE LES ARTS I DE LES CIENCIES",117.894343636364,2.44639702360749,0.325459119443496,4.641335671221,2.12183622793585,4.08643480873551,3.2684709703479,2.62716896147873,3.52424750656904,13.5632950570817,3.24975020079424,4.99204677518135,3.37220922906833,2.33532179930693,7,10,18,0,18484.3333333333,48299.6666666667
"22","ALGIROS","CIUTAT JARDI",116.979364516129,2.69602714461589,1.99044388503019,4.83922171994909,2.82337202509466,1.90408460259233,2.76550591953681,0.383081221197239,3.38083641501896,15.4818526788452,2.23251277365911,5.44408490528379,1.15596207571704,1.10715262921352,2,13,10,0,16677.6,37632.8
"23","CAMPANAR","SANT PAU",116.237172222222,3.48913070318745,6.00249811708419,1.2727368574558,3.76831464764897,7.09119790825446,3.10101964795339,5.81682336762649,9.02358180611244,18.2719346397935,3.7260599921737,1.34701057070126,5.78606072176525,4.7586904731511,4,4,24,0,17983.3333333333,50016.3333333333
"24","RASCANYA","ELS ORRIOLS",115.677033333333,2.77207381233655,4.55065839770652,3.20786834407672,3.29250352273996,3.79619798033224,1.74553392085623,3.03415300889271,6.64754315497393,18.1873016634794,1.40595362159039,3.95389018961388,2.63519298720156,2.42424717913392,1,15,19,2,10020.7857142857,26739.3571428571
"25","CIUTAT VELLA","SANT FRANCESC",115.171244537815,0.0315184292402808,2.52376385005658,2.30546926232299,0.549042330349984,4.35847446538807,1.02364372110264,2.77432701912487,5.5610532416964,15.6433320350218,1.48631679839965,2.8181383003495,3.10880207598246,1.685549944852,6,1,26,1,25840.8,61482
"26","QUATRE CARRERES","LA PUNTA",114.147075,3.91648673276596,1.59257862158375,6.00842995800136,3.53013109694004,4.9804848274876,4.78107478856202,3.80033253112686,3.08425750389183,12.1229909112545,4.75509384272059,6.26617408413359,4.57322771438139,3.77210219958899,6,10,44,0,13366,32909
"27","L'OLIVERETA","NOU MOLES",113.561415555556,1.92519380972429,4.25100862367408,0.770404770538574,2.00571169136179,6.18976611150339,2.14966698212849,4.67196131583039,7.43786751883091,16.3205990150897,2.89872479879159,0.909865031046796,4.88956842230633,3.56239471899322,1,7,20,0,13055.4,31536.1
"28","CAMINS AL GRAU","LA CREU DEL GRAU",113.218201785714,2.8380445990752,1.02686381185569,5.12826725527146,2.75021054391541,2.78288823270442,3.2896066672252,1.52182841904226,2.74183282443129,14.3424684943428,2.96461277789491,5.62667167731082,2.29298918381827,1.80220208355692,3,12,16,0,12329.9,30717.5
"29","PATRAIX","PATRAIX",112.102913461538,1.5590509681481,3.38006291637423,1.87703568595486,1.3328085100544,5.92323349986363,2.30581660801296,4.30880194636856,6.63936277122972,15.2186408888371,2.97132439276574,1.94280423712724,4.69370408815654,3.2534959905508,1,8,21,0,15223.1111111111,36203.6666666667
"30","QUATRE CARRERES","NA ROVELLA",111.973683333333,2.0917378821184,1.08760957811006,4.10471911915985,1.65267768059244,4.67080219344626,3.05876322721726,3.10904797883898,4.2947900131032,13.5889477098431,3.22074011785656,4.37576746107219,3.79835883714398,2.54580529315372,5,10,15,0,9735.5,25503.3333333333
"31","CIUTAT VELLA","EL PILAR",111.529530612245,0.635122624158903,3.15945682429538,1.6799999014768,1.01612127127861,4.77520527233174,0.874782339824863,3.25593683574574,6.18992786556156,16.1093903949656,1.57426602079049,2.24103982412061,3.48196409509683,2.14561246565823,4,1,4,0,16800.6666666667,35819
