nombre;distancia_P_Ayuntamiento;distancia_CAC;distancia_Bioparc;distancia_Estacion;distancia_Malvarrosa;distancia_Torres;distancia_Universitat;distancia_Puerto;distancia_Albufera
NATZARET;4,58E+14;2,07349E+14;6,84357E+14;4,33128E+13;4,11562E+14;5,22011E+14;3,39658E+14;1,54511E+14;1,26027E+14
LA CREU COBERTA;2,26257E+14;2,77176E+14;3,31196E+14;1,76599E+14;6,0884E+14;3,27513E+14;4,45387E+14;5,96576E+14;1,37878E+14
L'AMISTAT;2,19305E+14;1,93517E+14;4,31913E+14;2,35704E+14;2,28009E+14;2,25294E+14;6,38683E+14;3,82278E+14;1,55925E+14
EL GRAU;5,37656E+14;2,88597E+14;7,64998E+14;5,14283E+14;4,39717E+14;5,97533E+14;3,95041E+14;1,08748E+14;1,23602E+14
RAFALELL-VISTABELLA;1,17214E+14;1,2302E+14;1,22883E+13;1,21843E+14;8,69724E+14;1,08273E+14;9,9399E+14;1,19959E+14;2,52796E+14
LA CARRASCA;3,24171E+13;2,98215E+13;5,13653E+14;3,49434E+14;1,14885E+14;2,98461E+14;6,24849E+14;3,86903E+14;1,63995E+14
BENIFERRI;3,86742E+14;6,37199E+14;2,05827E+14;4,25696E+14;6,81718E+14;3,18494E+14;5,74639E+14;9,1755E+14;1,9131E+13
EL SALER;1,4077E+14;1,19354E+14;1,5772E+14;1,36031E+14;1,46328E+14;1,50435E+14;1,39424E+14;1,10863E+13;2,61583E+14
CARPESA;5,01283E+14;6,91889E+14;4,58686E+14;5,53582E+14;5,47913E+14;3,96723E+14;5,20459E+14;8,78595E+14;2,05496E+14
TORREFIEL;2,81668E+14;4,85928E+14;2,79777E+14;3,33942E+14;4,39787E+14;1,77242E+14;3,55264E+14;7,14683E+14;1,83915E+14
MORVEDRE;1,58323E+13;3,67E+14;2,33274E+14;2,1075E+14;4,00318E+14;5,38635E+14;2,77482E+13;6,21785E+14;1,71408E+14
TRINITAT;1,46863E+14;3,21036E+14;2,77686E+14;1,96425E+14;3,49424E+13;6,58641E+14;2,20761E+14;5,65393E+14;1,67946E+14
CAMPANAR;1,97812E+14;4,50347E+14;6,53836E+14;2,31977E+14;5,67712E+14;1,59482E+14;4,3184E+14;7,48411E+14;1,72246E+14
EL CARME;1,06605E+14;3,46849E+14;1,79153E+14;1,56677E+14;4,47228E+14;3,60759E+14;3,07596E+14;6,29599E+14;1,6689E+14
LA VEGA BAIXA;2,37267E+14;2,34984E+13;4,37234E+14;2,60906E+14;2,01719E+14;2,24446E+14;4,80609E+14;4,01874E+14;1,599E+14
LA XEREA;6,60172E+14;2,55862E+14;2,60393E+14;1,11208E+13;3,80469E+14;7,10279E+14;2,2756E+14;5,3518E+14;1,59923E+14
L'ILLA PERDUDA;3,1525E+14;1,92695E+14;5,35478E+14;3,21123E+14;1,86302E+14;3,31662E+14;8,37149E+12;2,80572E+14;1,51193E+14
TRES FORQUES;2,15024E+14;4,23615E+14;1,30641E+13;2,08365E+14;6,51873E+14;2,59326E+14;4,94976E+14;7,4821E+14;1,58627E+13
PATRAIX;1,55905E+13;3,38006E+14;1,87704E+14;1,33281E+13;5,92323E+14;2,30582E+14;4,3088E+14;6,63936E+14;1,52186E+14
RUSSAFA;9,95036E+14;1,8355E+14;2,99473E+14;5,1564E+14;4,60789E+14;2,02404E+13;2,96596E+13;5,07496E+14;1,46307E+14
LA CREU DEL GRAU;2,83804E+13;1,02686E+14;5,12827E+14;2,75021E+14;2,78289E+14;3,28961E+13;1,52183E+14;2,74183E+14;1,43425E+14
LES CASES DE BARCENA;6,26738E+14;7,7281E+14;6,28469E+14;6,78496E+14;5,351E+14;5,2431E+13;5,63432E+14;8,96121E+14;2,14251E+14
MAHUELLA-TAULADELLA;8,94807E+14;9,98516E+14;9,20706E+14;9,44565E+14;6,82111E+14;7,9742E+14;7,67782E+14;1,04488E+14;2,34849E+14
MASSARROJOS;9,01505E+13;1,12882E+14;7,58203E+14;9,49317E+13;1,01326E+12;8,06545E+14;9,8278E+14;1,34335E+13;2,45824E+14
SANT PAU;3,48913E+14;6,0025E+14;1,27274E+13;3,76831E+14;7,0912E+14;3,10102E+14;5,81682E+14;9,02358E+14;1,82719E+14
LA SEU;7,54966E+14;2,99471E+14;2,21282E+14;1,27855E+14;4,09534E+14;3,03989E+14;2,63444E+14;5,79943E+14;1,63342E+14
AIORA;2,86853E+14;1,45357E+14;5,12433E+14;2,86586E+14;2,33121E+14;3,17045E+14;1,08059E+14;2,83548E+14;1,47797E+14
L'HORT DE SENABRE;2,39748E+14;3,21875E+14;3,08274E+14;1,94791E+13;6,42785E+14;3,35223E+14;4,78679E+14;6,43005E+14;1,40102E+14
CIUTAT JARDI;2,69603E+14;1,99044E+14;4,83922E+14;2,82337E+14;1,90408E+14;2,76551E+14;3,83081E+14;3,38084E+14;1,54819E+14
CAMI DE VERA;2,82903E+14;3,56066E+14;4,28557E+14;3,23339E+14;2,13178E+14;2,20299E+14;1,49494E+14;5,07171E+14;1,72338E+14
EL PALMAR;1,51521E+14;1,33888E+14;1,64688E+14;1,46393E+13;1,65929E+14;1,61831E+14;1,56256E+14;1,33093E+14;1,39105E+13
EL PERELLONET;2,05658E+14;1,84258E+14;2,22098E+14;2,00875E+14;2,0988E+14;2,15373E+14;2,03908E+14;1,7367E+14;5,42451E+14
VARA DE QUART;2,87129E+14;4,59548E+14;2,13136E+14;2,67063E+14;7,25336E+14;3,46112E+13;5,64539E+14;7,86392E+14;1,53536E+14
SOTERNES;2,87578E+14;5,11745E+14;1,10652E+13;2,91027E+14;7,13564E+14;3,06095E+14;5,62779E+14;8,34199E+12;1,66171E+14
LA FONTSANTA;2,80208E+14;4,86686E+14;1,47922E+14;2,74044E+14;7,15573E+14;3,16838E+13;5,59851E+14;8,12272E+14;1,6095E+14
EL BOTANIC;1,08251E+14;3,60798E+14;1,2931E+14;1,45462E+14;5,02374E+14;9,42061E+14;3,56414E+14;6,60895E+14;1,65014E+14
BORBOTO;5,67519E+14;7,87529E+14;4,60827E+14;6,17365E+14;6,89701E+14;4,68675E+14;6,43615E+14;1,00514E+14;2,1298E+14
BENIFARAIG;6,24646E+13;8,25844E+14;5,47203E+13;6,76295E+14;6,77599E+14;5,21437E+14;6,56963E+14;1,01429E+14;2,18444E+14
TORMOS;2,17549E+14;4,37165E+14;2,22207E+14;2,69238E+14;4,45162E+14;1,15477E+14;3,37326E+14;6,88299E+14;1,77909E+14
SANT ANTONI;2,11017E+13;4,06971E+14;2,64699E+14;2,63374E+14;3,91845E+14;1,07026E+14;2,87856E+14;6,42951E+14;1,76218E+14
BENIMACLET;2,18734E+14;3,28704E+14;3,62948E+14;2,62133E+14;2,68619E+14;1,52713E+14;1,63963E+14;5,24292E+14;1,69885E+14
MARXALENES;1,87925E+14;4,23321E+14;1,76253E+14;2,37463E+13;4,71901E+14;9,6642E+14;3,51097E+14;6,91915E+14;1,74989E+14
EXPOSICIO;1,28696E+14;2,46301E+13;3,19612E+14;1,65299E+14;3,14635E+14;1,09845E+14;1,65101E+14;4,93159E+14;1,61052E+14
BETERO;3,4506E+14;2,37828E+14;5,58969E+14;3,55816E+14;1,41815E+14;3,49618E+14;8,06211E+14;2,86672E+14;1,54593E+14
CABANYAL-CANYAMELAR;4,04748E+14;2,57825E+14;6,23734E+14;4,09964E+14;1,59539E+14;4,16985E+14;1,50496E+14;2,23518E+14;1,51149E+14
MESTALLA;1,50478E+13;1,78986E+14;3,69121E+14;1,66384E+14;2,9587E+14;1,72636E+14;1,32723E+14;4,27339E+14;1,54784E+14
EL PILAR;6,35123E+14;3,15946E+14;1,68E+13;1,01612E+14;4,77521E+14;8,74782E+14;3,25594E+14;6,18993E+14;1,61094E+14
EL PLA DEL REMEI;6,38002E+13;2,00458E+14;2,91653E+14;7,88866E+14;3,83765E+14;1,28673E+14;2,21916E+14;4,95211E+14;1,53998E+14
ALBORS;2,02868E+14;1,46453E+14;4,26323E+14;2,09068E+14;2,66115E+14;2,31425E+14;1,04285E+14;3,68479E+14;1,51487E+14
ARRANCAPINS;9,41068E+14;2,79974E+14;2,1091E+13;6,61602E+14;5,26154E+14;1,84194E+14;3,64141E+14;6,03259E+14;1,51717E+14
EN CORTS;1,63078E+14;1,50026E+14;3,5575E+14;1,15001E+14;4,78077E+14;2,64629E+14;3,16295E+14;4,76423E+14;1,39971E+14
POBLE NOU;4,08603E+14;6,25152E+14;3,3638E+14;4,5947E+14;5,53829E+14;3,07737E+14;4,89284E+14;8,50554E+14;1,97101E+13
LA TORRE;4,27304E+13;4,05654E+14;5,05722E+14;3,76565E+12;7,75094E+14;5,29123E+14;6,17229E+14;6,77543E+14;1,21346E+14
SANT FRANCESC;3,15184E+14;2,52376E+14;2,30547E+14;5,49042E+14;4,35847E+14;1,02364E+14;2,77433E+14;5,56105E+13;1,56433E+14
